&#x1f697;	automobile
&#x1f698;	oncoming automobile
&#x1f699;	recreational vehicle
&#x1f69a;	delivery truck
&#x1f69b;	articulated lorry
&#x1f69c;	tractor
&#x1f6b2;	bicycle
&#x1f6b3;	no bicycles
&#x26fd;	fuel pump
&#x1f6e2;	oil drum
&#x1f6e3;	motorway
&#x1f6e4;	railway track
&#x1f6a8;	police cars revolving light
&#x2388;	helm symbol
&#x2693;	anchor
&#x1f531;	trident emblem
&#x26f5;	sailboat
&#x1f6a3;	rowboat
&#x1f6a4;	speedboat
&#x1f6f3;	passenger ship
&#x26f4;	ferry
&#x1f6e5;	motor boat
&#x1f6a2;	ship
&#x2708;	airplane
&#x1f6e9;	small airplane
&#x1f6eb;	airplane departure
&#x1f6ec;	airplane arriving
&#x1f4ba;	seat
&#x1f681;	helicopter
&#x1f69f;	suspension railway
&#x1f6a0;	mountain cableway
&#x1f6a1;	aerial tramway
&#x1f680;	rocket
&#x1f6f0;	satellite
&#x1f3e7;	automated teller machine
&#x1f6ae;	put litter in its place symbol
&#x1f6a5;	horizontal traffic light
&#x1f6a6;	vertical traffic light
&#x1f6a7;	construction sign
&#x1f6ab;	no entry sign
&#x1f6ad;	no smoking symbol
&#x1f6af;	do not litter symbol
&#x1f6b0;	potable water symbol
&#x1f6b1;	non-potable water symbol
&#x1f6b7;	no pedestrians
&#x1f6b8;	children crossing
&#x267f;	wheelchair symbol
&#x1f6b9;	mens symbol
&#x1f6ba;	womens symbol
&#x1f6bb;	restroom
&#x1f6bc;	baby symbol
&#x1f6be;	water closet
&#x1f6c2;	passport control
&#x1f6c3;	customs
&#x1f6c4;	baggage claim
&#x1f6c5;	left luggage
&#x26a0;	warning sign
&#x26d4;	no entry
&#x1f6ce;	bellhop bell
&#x1f6aa;	door
&#x1f6cc;	sleeping accommodation
&#x1f6cf;	bed
&#x1f6cb;	couch and lamp
&#x1f6bd;	toilet
&#x1f6bf;	shower
&#x1f6c0;	bath
&#x1f6c1;	bathtub
&#x231b;	hourglass
&#x23f3;	hourglass with flowing sand
&#x231a;	watch
&#x23f0;	alarm clock
&#x23f1;	stopwatch
&#x23f2;	timer clock
&#x1f570;	mantelpiece clock
&#x1f55b;	clock face twelve oclock
&#x1f567;	clock face twelve-thirty
&#x1f550;	clock face one oclock
&#x1f55c;	clock face one-thirty
&#x1f551;	clock face two oclock
&#x1f55d;	clock face two-thirty
&#x1f552;	clock face three oclock
&#x1f55e;	clock face three-thirty
&#x1f553;	clock face four oclock
&#x1f55f;	clock face four-thirty
&#x1f554;	clock face five oclock
&#x1f560;	clock face five-thirty
&#x1f555;	clock face six oclock
&#x1f561;	clock face six-thirty
&#x1f556;	clock face seven oclock
&#x1f562;	clock face seven-thirty
&#x1f557;	clock face eight oclock
&#x1f563;	clock face eight-thirty
&#x1f558;	clock face nine oclock
&#x1f564;	clock face nine-thirty
&#x1f559;	clock face ten oclock
&#x1f565;	clock face ten-thirty
&#x1f55a;	clock face eleven oclock
&#x1f566;	clock face eleven-thirty
&#x2648;	aries
&#x2649;	taurus
&#x264a;	gemini
